Problem1-copilot-GPT-4.1-python (Python)
"800,000",153.62,152.75,157.95,154.33,1.69,0.000192,0.93,2.00,"O(log(min(n, m)))",O(log n)
"1,600,000",141.58,139.25,180.11,147.85,13.05,0.000088,0.92,2.00,"O(log(min(n, m)))",O(log n)

Problem3-copilot-Claude-Sonnet-3.5-C++ (C++)
Input Size,Med (ns),Min (ns),Max (ns),Avg (ns),Std (ns),Time/n (ns),Actual Ratio,Expected Ratio,Big O,Real. Big O
100,79.10,76.08,103.49,82.93,8.69,0.791000,n/a,n/a,"O(log(min(n, m)))",O(log n)
"1,000",120.95,119.85,135.36,123.87,5.02,0.120950,1.53,10.00,"O(log(min(n, m)))",O(log n)
"10,000",149.16,137.95,222.20,158.03,24.90,0.014916,1.23,10.00,"O(log(min(n, m)))",O(log n)
"100,000",173.03,169.29,237.30,184.33,21.42,0.001730,1.16,10.00,"O(log(min(n, m)))",O(log n)
"200,000",200.20,189.71,241.38,205.76,16.69,0.001001,1.16,2.00,"O(log(min(n, m)))",O(log n)
"400,000",248.35,241.43,295.56,256.51,18.78,0.000621,1.24,2.00,"O(log(min(n, m)))",O(log n)
"800,000",213.10,200.32,292.14,219.97,26.05,0.000266,0.86,2.00,"O(log(min(n, m)))",O(log n)
"1,600,000",215.37,211.08,239.63,221.37,10.98,0.000135,1.01,2.00,"O(log(min(n, m)))",O(log n)
